beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"Brunch Blanche","Moersleutel Craft Brewery","Stout - White / Golden",9,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2022-11-29 20:11:57",https://api.untappd.com/c/1225258656,https://api.untappd.com/beer/4807984,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,,,Can,1225258656,4807984,269726,https://untappd.s3.amazonaws.com/photos/2022_11_29/738835643b0059bbc5a1a89945e5eb4c_raw.jpg,3.69,3.69,"Stefan Jansen,Marcel van Heerdt,Erik Evers",4,3
"May the S'mores Be With You","Moersleutel Craft Brewery","Stout - Imperial / Double Pastry",11,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2022-11-29 20:27:09",https://api.untappd.com/c/1225262537,https://api.untappd.com/beer/4764681,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"chocolate,coffeeish,fatty,smooth",,Can,1225262537,4764681,269726,https://untappd.s3.amazonaws.com/photos/2022_11_29/0a54ad6809cbf10b9ec720659d1dcb75_raw.jpg,4.05,4.04,"Stefan Jansen,Marcel van Heerdt,Erik Evers",2,0
"Blueberry Maple Syrup Pancake","Moersleutel Craft Brewery","Sour - Smoothie / Pastry",5,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.25,"2022-11-29 20:43:57",https://api.untappd.com/c/1225266568,https://api.untappd.com/beer/4537425,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"sour,syrupy,maple",,Can,1225266568,4537425,269726,https://untappd.s3.amazonaws.com/photos/2022_11_29/e6c220871b1e585c7c9d1608bf4b9a6b_raw.jpg,3.45,3.47,"Stefan Jansen,Marcel van Heerdt,Erik Evers",2,0
"Smeerolie Mexicake (2022)","Moersleutel Craft Brewery","Stout - Imperial / Double",11,55,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2022-12-02 16:53:10",https://api.untappd.com/c/1225816509,https://api.untappd.com/beer/4690493,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"chocolate,vanilla,thick",,Can,1225816509,4690493,269726,https://untappd.s3.amazonaws.com/photos/2022_12_02/3ebd59b7a3451184c2476eeda8cc5cdc_raw.jpg,4.08,4.05,"Marcel van Heerdt,Erik Evers",2,0
LeFort,"Omer Vander Ghinste","Brown Ale - Imperial / Double",10,18,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.75,"2022-12-02 17:53:17",https://api.untappd.com/c/1225834673,https://api.untappd.com/beer/504924,https://api.untappd.com/brewery/5213,Belgium,Kortrijk,"Vlaams Gewest","dark,strong",,Bottle,1225834673,504924,5213,https://untappd.s3.amazonaws.com/photos/2022_12_02/a0033673a5b9e0f47a89ad664ff7c86b_raw.jpg,3.62,3.62,"Erik Evers,Marcel van Heerdt",2,0
Oesterstout,Scheldebrouwerij,"Stout - Oyster",8.5,35,,"Untappd at Home",,NC,"United States",34.2347,-77.9482,3.75,"2022-12-03 20:44:20",https://api.untappd.com/c/1226445842,https://api.untappd.com/beer/13462,https://api.untappd.com/brewery/3568,Belgium,Hoogstraten,"Vlaams Gewest","sweet,dark,smooth",,Bottle,1226445842,13462,3568,https://untappd.s3.amazonaws.com/photos/2022_12_03/fbd380201d542716959209effca96a9d_raw.jpg,3.49,3.49,,2,0
"Way in the Dark","Pühaste Brewery","Porter - Imperial / Double",11.5,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2022-12-06 18:02:34",https://api.untappd.com/c/1227302337,https://api.untappd.com/beer/5073044,https://api.untappd.com/brewery/97950,Estonia,Tartu,"Tartu maakond","velvety,creamy,chocolate",,Can,1227302337,5073044,97950,https://untappd.s3.amazonaws.com/photos/2022_12_06/e0a784a0ae2be168af8f7e98b4e9df4d_raw.jpg,4.06,4.01,"Marcel van Heerdt,Erik Evers,Stefan Jansen",1,0
"Intergalactic Bounty Hunter","Moersleutel Craft Brewery","Stout - Imperial / Double Coffee",12,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4,"2022-12-08 18:02:02",https://api.untappd.com/c/1227704714,https://api.untappd.com/beer/3588488,https://api.untappd.com/brewery/269726,Netherlands,Alkmaar,Noord-Holland,"thick,sweet,chocolate",,Can,1227704714,3588488,269726,https://untappd.s3.amazonaws.com/photos/2022_12_08/23e4e34c48f408bb960e14da2e1d14f2_raw.jpg,4.1,4.09,"Stefan Jansen,Marcel van Heerdt,Erik Evers",1,0
"Barrel Project 21.02","Brouwerij Kees","Scotch Ale / Wee Heavy",9.2,26,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,3.5,"2022-12-08 19:09:13",https://api.untappd.com/c/1227721514,https://api.untappd.com/beer/4140408,https://api.untappd.com/brewery/188723,Netherlands,Middelburg,Zeeland,"rich,woody",,Can,1227721514,4140408,188723,https://untappd.s3.amazonaws.com/photos/2022_12_08/96ccc94b6b6bd9ea24fa13dc8ad7d31b_raw.jpg,3.47,3.51,"Marcel van Heerdt",1,0
"Somnia Bourbon BA (Silver Series)","Pühaste Brewery","Stout - Imperial / Double",13,0,,Avisi,Arnhem,Gelderland,Nederland,51.9839,5.8994,4.25,"2022-12-09 16:44:54",https://api.untappd.com/c/1227962660,https://api.untappd.com/beer/4764501,https://api.untappd.com/brewery/97950,Estonia,Tartu,"Tartu maakond","sweet,chocolate",,Bottle,1227962660,4764501,97950,https://untappd.s3.amazonaws.com/photos/2022_12_09/32c75b7feefc941493e4b93ab66bb8c8_raw.jpg,4.27,4.23,"Marcel van Heerdt,Stefan Jansen,Erik Evers",1,0
