	text	janneke	daan	mats
0	Timnit	O	O	O
1	Gebru	O	O	O
2	(	O	O	O
3	Amharic	O	O	O
4	:	O	O	O
5	ትምኒት	O	O	O
6	ገብሩ	O	O	O
7	;	O	O	O
8	Tigrinya	O	O	O
9	:	O	O	O
10	ትምኒት	O	O	O
11	ገብሩ	O	O	O
12	;	O	O	O
13	born	O	O	O
14	13	B	B	B
15	May	I	I	I
16	1983	I	I	I
17	)	O	O	O
18	is	O	O	O
19	an	O	O	O
20	Eritrean	O	O	O
21	Ethiopian-born	O	O	O
22	computer	O	O	O
23	scientist	O	O	O
24	who	O	O	O
25	works	O	O	O
26	on	O	O	O
27	algorithmic	O	O	O
28	bias	O	O	O
29	and	O	O	O
30	data	O	O	O
31	mining	O	O	O
32	.	O	O	O
33	She	O	O	O
34	is	O	O	O
35	an	O	O	O
36	advocate	O	O	O
37	for	O	O	O
38	diversity	O	O	O
39	in	O	O	O
40	technology	O	O	O
41	and	O	O	O
42	co-founder	O	O	O
43	of	O	O	O
44	Black	O	O	O
45	in	O	O	O
46	AI	O	O	O
47	,	O	O	O
48	a	O	O	O
49	community	O	O	O
50	of	O	O	O
51	Black	O	O	O
52	researchers	O	O	O
53	working	O	O	O
54	in	O	O	O
55	artificial	O	O	O
56	intelligence	O	O	O
57	(	O	O	O
58	AI	O	O	O
59	)	O	O	O
60	.	O	O	O
61	In	O	O	O
62	December	B	B	B
63	2020	I	I	I
64	,	O	O	O
65	Gebru	O	O	O
66	was	O	O	O
67	the	O	O	O
68	center	O	O	O
69	of	O	O	O
70	a	O	O	O
71	public	O	O	O
72	controversy	O	O	O
73	stemming	O	O	O
74	from	O	O	O
75	her	O	O	O
76	abrupt	O	O	O
77	and	O	O	O
78	contentious	O	O	O
79	departure	O	O	O
80	from	O	O	O
81	Google	O	O	O
82	as	O	O	O
83	technical	O	O	O
84	co-lead	O	O	O
85	of	O	O	O
86	the	O	O	O
87	Ethical	O	O	O
88	Artificial	O	O	O
89	Intelligence	O	O	O
90	Team	O	O	O
91	.	O	O	O
92	Higher	O	O	O
93	management	O	O	O
94	had	O	O	O
95	requested	O	O	O
96	she	O	O	O
97	withdraw	O	O	O
98	an	O	O	O
99	as-yet-unpublished	O	O	O
100	paper	O	O	O
101	or	O	O	O
102	remove	O	O	O
103	the	O	O	O
104	names	O	O	O
105	of	O	O	O
106	all	O	O	O
107	Google	O	O	O
108	coauthors	O	O	O
109	,	O	O	O
110	and	O	O	O
111	said	O	O	O
112	that	O	O	O
113	the	O	O	O
114	paper	O	O	O
115	ignored	O	O	O
116	recent	O	O	O
117	research	O	O	O
118	.	O	O	O
119	She	O	O	O
120	requested	O	O	O
121	insight	O	O	O
122	into	O	O	O
123	the	O	O	O
124	decision	O	O	O
125	and	O	O	O
126	warned	O	O	O
127	that	O	O	O
128	non-compliance	O	O	O
129	would	O	O	O
130	result	O	O	O
131	in	O	O	O
132	her	O	O	O
133	negotiating	O	O	O
134	her	O	O	O
135	departure	O	O	O
136	.	O	O	O
137	Google	O	O	O
138	terminated	O	O	O
139	her	O	O	O
140	employment	O	O	O
141	immediately	O	O	O
142	,	O	O	O
143	stating	O	O	O
144	they	O	O	O
145	were	O	O	O
146	accepting	O	O	O
147	her	O	O	O
148	resignation	O	O	O
149	.	O	O	O
150	Gebru	O	O	O
151	has	O	O	O
152	been	O	O	O
153	recognized	O	O	O
154	widely	O	O	O
155	for	O	O	O
156	her	O	O	O
157	expertise	O	O	O
158	in	O	O	O
159	technology	O	O	O
160	and	O	O	O
161	artificial	O	O	O
162	intelligence	O	O	O
163	.	O	O	O
164	She	O	O	O
165	was	O	O	O
166	named	O	O	O
167	one	O	O	O
168	of	O	O	O
169	the	O	O	O
170	World	O	O	O
171	's	O	O	O
172	50	O	O	O
173	Greatest	O	O	O
174	Leaders	O	O	O
175	by	O	O	O
176	Fortune	O	O	O
177	and	O	O	O
178	one	O	O	O
179	of	O	O	O
180	Nature	O	O	O
181	's	O	O	O
182	ten	O	O	O
183	people	O	O	O
184	who	O	O	O
185	shaped	O	O	O
186	science	O	O	O
187	in	O	O	O
188	2021	B	B	B
189	,	O	O	O
190	and	O	O	O
191	in	O	O	O
192	2022	B	B	B
193	,	O	O	O
194	one	O	O	O
195	of	O	O	O
196	Time	O	O	O
197	's	O	O	O
198	most	O	O	O
199	influential	O	O	O
200	people	O	O	O
201	.	O	O	O
202	Early	O	O	O
203	life	O	O	O
204	and	O	O	O
205	education	O	O	O
206	.	O	O	O
207	Gebru	O	O	O
208	was	O	O	O
209	born	O	O	O
210	and	O	O	O
211	raised	O	O	O
212	in	O	O	O
213	Addis	O	O	O
214	Ababa	O	O	O
215	,	O	O	O
216	Ethiopia	O	O	O
217	,	O	O	O
218	on	O	O	O
219	13	B	B	B
220	May	I	I	I
221	1983	I	I	I
222	.	O	O	O
223	When	O	O	O
224	Gebru	O	O	O
225	was	O	O	O
226	15	O	O	O
227	,	O	O	O
228	during	O	O	O
229	the	O	O	O
230	Eritrean–Ethiopian	O	O	O
231	War	O	O	O
232	,	O	O	O
233	she	O	O	O
234	fled	O	O	O
235	Ethiopia	O	O	O
236	after	O	O	O
237	some	O	O	O
238	of	O	O	O
239	her	O	O	O
240	family	O	O	O
241	was	O	O	O
242	deported	O	O	O
243	to	O	O	O
244	Eritrea	O	O	O
245	and	O	O	O
246	compelled	O	O	O
247	to	O	O	O
248	fight	O	O	O
249	in	O	O	O
250	the	O	O	O
251	war	O	O	O
252	.	O	O	O
253	She	O	O	O
254	was	O	O	O
255	initially	O	O	O
256	denied	O	O	O
257	a	O	O	O
258	U.S.	O	O	O
259	visa	O	O	O
260	and	O	O	O
261	briefly	O	O	O
262	lived	O	O	O
263	in	O	O	O
264	Ireland	O	O	O
265	,	O	O	O
266	but	O	O	O
267	she	O	O	O
268	eventually	O	O	O
269	received	O	O	O
270	political	O	O	O
271	asylum	O	O	O
272	in	O	O	O
273	the	O	O	O
274	U.S	O	O	O
275	.	O	O	O
276	In	O	O	O
277	2001	B	B	B
278	,	O	O	O
279	Gebru	O	O	O
280	was	O	O	O
281	accepted	O	O	O
282	at	O	O	O
283	Stanford	O	O	O
284	University	O	O	O
285	.	O	O	O
286	There	O	O	O
287	she	O	O	O
288	earned	O	O	O
