index,f_g_small_i_count,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_fullstop_wo_whitespace_count,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_emoticons_count,f_i_happy_emoticons_count,f_i_question_count,f_i_exclamation_count,f_o_sentiment_score_neg,f_o_sentiment_score_neu,f_o_sentiment_score_pos,f_o_he_she_ratio,f_o_swear_word_count,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,f_p_pos_common_noun_ratio,f_p_pos_proper_noun_ratio,f_p_pos_base_adjective_ratio,f_p_pos_comparative_adjective_ratio,f_p_pos_superlative_adjective_ratio,f_p_pos_base_adverb_ratio,f_p_pos_comparative_adverb_ratio,f_p_pos_superlative_adverb_ratio,f_p_pos_infinitive_verb_ratio,f_p_pos_present_tense_1st_2nd_person_verb_ratio,f_p_pos_present_tense_3rd_person_verb_ratio,f_p_pos_past_tense_verb_ratio,f_p_pos_present_participle_verb_ratio,f_p_pos_past_participle_verb_ratio,f_p_pos_modal_auxiliary_verb_ratio,f_p_pos_pronoun_ratio,f_p_pos_genetive_ratio,f_p_pos_interjection_ratio,f_p_pos_foreign_word_ratio,f_p_pos_numeral_ratio,f_p_pos_parenthesis_ratio
198,0,1,20,3,0,0,1,23,0,0,8,8,0.033280432,0.4988811,0.46783853,1.0,1,3003,692,51,192,2,106,478,27,0,108,210,3.728,3.728,2.526,2.526,2.322,0.303,0.0,0.818,0.13,0.074,0.051,0.001,0.003,0.045,0.001,0.0,0.026,0.013,0.006,0.087,0.02,0.004,0.007,0.113,0.0,0.003,0.0,0.001,0.0
3621,0,0,19,0,0,0,0,19,0,0,7,4,0.42942604,0.4968708,0.07370321,0.7096774193548387,3,3077,746,51,147,0,64,570,26,0,94,190,3.414,3.414,2.02,2.02,2.537,0.255,0.0,0.793,0.113,0.009,0.035,0.001,0.0,0.051,0.001,0.0,0.034,0.02,0.009,0.099,0.019,0.017,0.011,0.19,0.0,0.001,0.0,0.005,0.0
654,0,1,12,1,0,0,0,15,0,0,8,2,0.32753587,0.5617884,0.11067577,12.0,1,3010,743,36,188,0,73,563,27,1,132,167,3.377,3.377,2.234,2.234,2.644,0.225,0.0,0.774,0.133,0.015,0.034,0.0,0.0,0.079,0.001,0.001,0.02,0.026,0.004,0.066,0.023,0.013,0.0,0.137,0.0,0.009,0.0,0.005,0.0
471,0,0,8,0,0,0,0,9,0,0,1,0,0.17661934,0.63446367,0.18891695,9.0,1,3080,623,32,82,0,57,393,26,0,41,225,4.128,4.128,2.445,2.445,1.947,0.361,0.0,0.842,0.201,0.043,0.069,0.002,0.0,0.045,0.0,0.0,0.024,0.008,0.003,0.067,0.021,0.019,0.008,0.058,0.0,0.0,0.0,0.005,0.0
1937,0,5,10,2,0,0,0,9,0,0,3,4,0.4736566,0.46184146,0.06450196,8.0,5,3061,647,39,120,1,102,427,27,1,69,232,3.943,3.943,2.425,2.425,2.047,0.359,0.0,0.842,0.172,0.054,0.046,0.003,0.0,0.048,0.0,0.0,0.029,0.014,0.008,0.073,0.026,0.017,0.012,0.096,0.0,0.002,0.0,0.005,0.0
1163,0,0,13,1,0,0,1,12,0,0,2,6,0.30553102,0.58591443,0.108554594,0.5384615384615384,2,3098,727,51,139,0,63,537,27,0,62,203,3.521,3.521,2.117,2.117,2.353,0.279,0.0,0.806,0.136,0.026,0.036,0.0,0.001,0.045,0.0,0.0,0.041,0.011,0.006,0.087,0.017,0.021,0.011,0.128,0.0,0.001,0.0,0.006,0.0
759,0,3,32,8,0,1,0,32,0,0,12,10,0.5785151,0.3653391,0.05614585,5.0,1,2963,759,66,208,0,98,581,26,3,135,156,3.325,3.325,2.084,2.084,2.77,0.206,0.0,0.761,0.121,0.058,0.016,0.001,0.0,0.043,0.003,0.0,0.051,0.024,0.014,0.046,0.02,0.009,0.012,0.103,0.0,0.005,0.0,0.009,0.0
1292,0,15,29,1,0,0,0,31,0,0,12,10,0.26564232,0.6185858,0.11577187,0.35294117647058826,0,3093,730,74,218,0,201,521,26,1,140,188,3.627,3.627,2.499,2.499,2.409,0.258,0.0,0.794,0.145,0.06,0.044,0.001,0.0,0.048,0.0,0.0,0.015,0.012,0.008,0.07,0.029,0.005,0.004,0.092,0.0,0.005,0.0,0.0,0.0
3622,0,0,15,0,0,0,0,13,0,0,5,0,0.09175986,0.5723469,0.3358932,1.1538461538461537,0,3098,679,46,115,0,62,475,27,0,63,222,3.789,3.789,2.272,2.272,2.149,0.327,0.0,0.829,0.149,0.029,0.044,0.004,0.0,0.053,0.0,0.0,0.031,0.015,0.009,0.077,0.024,0.021,0.01,0.153,0.0,0.001,0.0,0.001,0.0
3027,0,0,23,3,0,0,1,23,0,0,4,8,0.35729644,0.53445137,0.108252235,0.4,2,3068,705,61,166,3,83,505,27,0,77,236,3.668,3.668,2.366,2.366,2.203,0.335,0.0,0.833,0.142,0.057,0.048,0.001,0.0,0.037,0.003,0.0,0.031,0.014,0.006,0.078,0.021,0.009,0.01,0.115,0.0,0.001,0.0,0.004,0.0
